,Q1.1,Q1.1_5_TEXT,Q1.2,Q1.3,Q2.1.1_1,Q2.1.1_2,Q2.1.1_3,Q2.1.1_4,Q2.1.1_5,Q2.1.2_1,Q2.1.2_2,Q2.1.2_3,Q2.1.2_4,Q2.1.2_5,Q2.1.2_6,Q2.1.2_7,Q2.1.2_8,Q2.1.2_9,Q2.1.3_1,Q2.1.3_2,Q2.1.3_3,Q2.1.3_4,Q2.1.3_5,Q2.1.3_6,Q2.1.3_7,Q2.1.3_8,Q2.2,Q2.3
85,Developer,,>10 years,3-5 years,Rarely,Rarely,Sometimes,,,,Rarely,Rarely,,Rarely,,,,Sometimes,Often,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,"'- Almost all my experience with fuzzing comes from using Google OSS-Fuzz, so a lot of things are hidden for me and I had no clues answering those question (no idea about the efficiency of fuzzing, or if servers are unstable, etc.)
- Knowing if a fuzzer manages to executes some parts of the code is hard. There isn't for example any easy way to get the code coverage, by simply navigation URLs with OSS-Fuzz. At least as fas as I can see
- Sometimes bugs are hard to reproduce because the code fuzzed has FUZZING_BUILD_MODE_UNSAFE_FOR_PRODUCTION specific code parts, and when trying to reproduce, it is easy to forget that one has to rebuild one's current development version with it
- ossfuzz reported bugs are sometimes impossible to reproduce locally. I suspect most of those come from RAM fragmentation when running repeatedly code that does dynamic memory allocation that can't be seen by one time invokation
- That said, my overall experience with ossfuzz is quite good. Having something that is managed (managed server, nightly builds, automatical ticket filing and closing, etc) and only requires my attention when bugs are filed makes fuzzing, which would be otherwise a painful & time intensive experience (at least for people who aren't professionals of software security but just try to make their software secure), a reasonably good one.",
86,Developer,,6-10 years,3-5 years,Often,Always,Often,Always,Always,Sometimes,Sometimes,Sometimes,Rarely,Often,Rarely,Rarely,Often,Sometimes,Always,Always,Often,Often,Often,Sometimes,Sometimes,Always,The monitoring for failure is very difficult and needs more attention.,Usign large language model to generate more valid and invalid inputs.
87,Test Analyst/Tester/Test Engineer,,< 3,3-5 years,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,Rarely,Sometimes,Often,Rarely,Often,Often,Often,Rarely,Rarely,Often,Sometimes,Often,Sometimes,,
88,Technical Lead,,6-10 years,< 3,Often,Often,Sometimes,Never,Sometimes,Rarely,Never,Never,Never,Sometimes,Rarely,Never,Never,Sometimes,Often,Always,Rarely,Often,Never,Sometimes,Rarely,Never,"Fuzzers not available in target ISAs which leaders to fundamental differences in the fuzzed code which effectively makes that code not fuzzable.

Abstraction issues for embedded targets",Better selection of ISA support on industry standard tools
89,Developer,,3-5 years,< 3,Often,Often,Sometimes,Always,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,,
90,Others? Please specify.,Security Researcher,>10 years,>10 years,Often,Often,Always,Always,Sometimes,Often,Rarely,Rarely,Often,Sometimes,Rarely,Often,Rarely,Often,Often,Often,Always,Often,Sometimes,Often,Sometimes,Rarely,"Academic studies about fuzzing are nearly always lacking, or completely missing: how the results could be replicated, the fuzzer code, and/or documentation on how the tool/technique could be used for different targets.","Typical developer, doesn't have the skill set to analyze their code for interesting parts in the context of fuzzing. So fuzzing engineers end up doing a lot of work on analysing the target code and behavior. What I would like to see, and need, is a tool, or collection of tools, that could analyse the target behaviour and flag all typical constraints for fuzzing: I/O, wait loops, execution unstability etc.

Overall a tool that makes it easier to analyze the target for functionalities that often decrease fuzzing efficiency."
91,Others? Please specify.,Security Auditor,6-10 years,< 3,Often,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,Often,Often,Sometimes,Never,Rarely,Sometimes,Always,Always,Often,Sometimes,Rarely,Always,Often,Rarely,"Fuzzing code that uses cryptography is extremely challenging. For example if the input contains a hash, MAC, signature, etc, the fuzzer's modifications will cause the MAC/signature checks to fail. So, to fuzz this code, the code that does these cryptographic checks needs to be modified so that it is deliberately ""weakened"" when the fuzzer is running.

A real-world example of this is trying to fuzz the peer-to-peer message handler of a cryptocurrency like Zcash or Bitcoin, almost all mutations to a valid transaction will be rejected by the p2p message handling code immediately because the hash/signatures are invalid, and none of the more-complex parsing logic is ever reached.","1. Reducing the set-up time to get a fuzzer running against a project, especially for code that runs weird environments like a cryptocurrency hardware wallet.

2. Often the application code needs to be changed so that the fuzzer can reach deeper, e.g. needing to disable cryptographic signature checks. Tools that make these modifications easier (without cluttering the actual application's code) would help."
92,Developer,,6-10 years,3-5 years,Rarely,Often,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Never,Never,Never,Often,Sometimes,Rarely,Rarely,Sometimes,Often,Never,Sometimes,"The main challenges are the ability to fuzz code that need context. For instance, you want to fuzz what could be received by a server AFTER setting up the connection.","As with many technologies, it is difficult to anticipate its use from the beginning of the project and adapt the architecture so that the project is fuzzable.
People must be convinced that there is a real value in fuzzing a project."
93,Others? Please specify.,Security Engineer,< 3,3-5 years,Often,Often,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Never,Sometimes,Rarely,Sometimes,Often,Sometimes,Often,Always,Always,Often,Often,Sometimes,Never,Always,,
94,Developer,,< 3,< 3,Sometimes,Sometimes,Sometimes,Often,Often,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,,,,,,,,,,
95,Technical Lead,,>10 years,6-10 years,Often,Often,Often,Often,Rarely,Often,Often,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Often,Always,Sometimes,Sometimes,Rarely,Never,Rarely,Sometimes,Often,,
96,Sotware Architect,,>10 years,< 3,Sometimes,Never,Often,Never,,,,,,,,,,,,,,,,,,,,
97,Sotware Architect,,6-10 years,< 3,Rarely,Rarely,Sometimes,Often,Often,,,,,,,,,,,,,,,,,,,
98,Test Analyst/Tester/Test Engineer,,< 3,< 3,Rarely,Rarely,Often,Always,Always,,,,,,,,,,,,,,,,,,,
99,Others? Please specify.,Security Researcher,6-10 years,3-5 years,Sometimes,Rarely,Sometimes,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,,,,,,,,,,
100,Technical Lead,,6-10 years,< 3,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,,
101,Others? Please specify.,Researcher,< 3,3-5 years,Rarely,Rarely,Often,Sometimes,Never,,,,,,,,,,,,,,,,,,,
102,Others? Please specify.,Researcher,< 3,< 3,Never,Never,Often,Often,Rarely,,,,,,,,,,,,,,,,,,,
103,Developer,,< 3,< 3,Often,Often,Rarely,Always,Always,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Often,Always,Often,Sometimes,Never,Rarely,Often,Always,Rarely,Rarely,Rarely,"It would be great to get more literature on how the fuzzer works, especially how it exploits the results of instrumentation (in the case of instrumented code) and how the instrumentation can be improved.",More transparency and documentation on how the fuzzers concretely work would help the developers know what to do when the behavior is not as expected 
104,Technical Lead,,6-10 years,< 3,Sometimes,Sometimes,Sometimes,Rarely,Always,,,,,,,,,,,,,,,,,,,
105,Others? Please specify.,Security Engineer,3-5 years,< 3,Never,Never,Often,Sometimes,Often,Often,Rarely,Rarely,Rarely,Often,Rarely,Never,Often,Often,Often,Often,Often,Sometimes,Often,Always,Often,Often,,
106,Technical Lead,,>10 years,>10 years,Sometimes,Rarely,Sometimes,Sometimes,Often,,,,,,,,,,,,,,,,,,,
